godina,jan,feb,mar,apr,maj,jun,jul,avg,sep,okt,nov,dec,prosek,zima,proleće,leto,jesen,tsr-amp-mes,tsr leto-zima
1934.0,-1.2,1.3,10.8,16.1,19.4,19.9,21.7,21.9,17.9,12.0,8.9,5.0,12.8083333333333,-1.33333333333333,15.4333333333333,21.1666666666667,12.9333333333333,23.1,22.5
1935.0,-4.0,0.5,4.4,12.0,16.2,22.5,22.2,22.0,17.8,16.9,5.7,3.8,11.6666666666667,0.5,10.8666666666667,22.2333333333333,13.4666666666667,26.5,21.7333333333333
1936.0,6.7,3.4,10.1,12.8,17.5,19.9,24.9,20.0,17.2,8.6,6.2,1.9,12.4333333333333,4.63333333333333,13.4666666666667,21.6,10.6666666666667,23.0,16.9666666666667
1937.0,-1.1,3.6,10.4,10.0,18.8,21.8,21.9,20.4,19.2,12.5,6.8,3.8,12.3416666666667,1.46666666666667,13.0666666666667,21.3666666666667,12.8333333333333,23.0,19.9
1938.0,-0.2,1.6,8.6,8.9,15.5,22.3,22.7,21.4,16.6,13.3,7.5,0.3,11.5416666666667,1.73333333333333,11.0,22.1333333333333,12.4666666666667,22.9,20.4
1939.0,4.0,2.9,3.8,14.9,16.7,20.6,23.7,21.5,17.7,12.3,7.0,1.3,12.2,2.4,11.8,21.9333333333333,12.3333333333333,22.4,19.5333333333333
1940.0,-6.6,-3.0,4.2,11.8,15.0,19.2,21.8,18.1,17.6,12.4,9.4,-3.4,9.70833333333333,-2.76666666666667,10.3333333333333,19.7,13.1333333333333,28.4,22.4666666666667
1941.0,0.3,4.8,7.7,12.0,14.7,19.4,20.6,20.3,13.6,10.1,3.1,1.8,10.7,0.566666666666667,11.4666666666667,20.1,8.93333333333333,20.3,19.5333333333333
1942.0,-7.8,-2.3,3.6,10.6,18.0,21.1,23.7,23.3,22.6,15.4,6.7,4.7,11.6333333333333,-2.76666666666667,10.7333333333333,22.7,14.9,31.5,25.4666666666667
1943.0,-1.6,5.1,7.1,13.2,15.4,18.9,22.9,24.7,20.8,14.5,7.0,3.8,12.65,2.73333333333333,11.9,22.1666666666667,14.1,26.3,19.4333333333333
1944.0,2.4,0.1,3.3,12.3,16.0,20.7,21.7,23.4,17.8,13.8,7.4,1.2,11.675,2.1,10.5333333333333,21.9333333333333,13.0,23.3,19.8333333333333
1945.0,-1.8,3.0,7.7,12.3,20.2,21.4,23.5,22.5,17.7,11.7,6.1,1.7,12.1666666666667,0.8,13.4,22.4666666666667,11.8333333333333,25.3,21.6666666666667
1946.0,-2.4,2.9,7.3,14.2,19.5,22.7,25.4,25.5,21.4,8.7,7.6,-0.3,12.7083333333333,0.733333333333333,13.6666666666667,24.5333333333333,12.5666666666667,27.9,23.8
1947.0,-6.3,0.6,10.6,14.8,18.5,21.8,23.3,21.9,21.2,10.5,8.5,3.4,12.4,-2.0,14.6333333333333,22.3333333333333,13.4,29.6,24.3333333333333
1948.0,7.0,1.9,6.7,13.2,18.5,18.7,20.9,22.9,18.9,13.5,5.2,-2.1,12.1083333333333,4.1,12.8,20.8333333333333,12.5333333333333,25.0,16.7333333333333
1949.0,2.4,2.4,2.4,13.4,18.0,17.5,20.7,19.9,18.1,12.7,9.8,4.1,11.7833333333333,0.9,11.2666666666667,19.3666666666667,13.5333333333333,18.3,18.4666666666667
1950.0,-2.2,3.4,7.8,14.7,19.1,22.3,25.5,24.1,19.4,11.0,7.6,6.0,13.225,1.76666666666667,13.8666666666667,23.9666666666667,12.6666666666667,27.7,22.2
1951.0,3.7,5.1,8.4,12.3,18.0,20.7,22.0,23.0,19.9,10.9,9.8,3.6,13.1166666666667,4.93333333333333,12.9,21.9,13.5333333333333,19.4,16.9666666666667
1952.0,2.0,1.9,5.3,15.5,16.2,20.4,24.4,25.7,18.5,13.0,6.7,3.5,12.7583333333333,2.5,12.3333333333333,23.5,12.7333333333333,23.8,21.0
1953.0,1.5,1.2,5.8,13.1,15.8,21.0,23.6,20.5,19.3,13.3,3.9,0.6,11.6333333333333,2.06666666666667,11.5666666666667,21.7,12.1666666666667,23.0,19.6333333333333
1954.0,-5.1,-5.0,7.0,9.5,15.9,21.7,21.5,19.4,19.4,11.7,5.9,4.8,10.5583333333333,-3.16666666666667,10.8,20.8666666666667,12.3333333333333,26.8,24.0333333333333
1955.0,2.5,5.2,4.8,8.4,16.5,19.9,21.2,19.6,17.6,12.9,5.9,5.4,11.6583333333333,4.16666666666667,9.9,20.2333333333333,12.1333333333333,18.7,16.0666666666667
1956.0,3.3,-7.2,1.4,12.6,16.0,19.2,22.4,23.1,19.0,12.1,3.3,1.0,10.5166666666667,0.5,10.0,21.5666666666667,11.4666666666667,30.3,21.0666666666667
1957.0,-1.2,7.0,8.7,12.6,13.9,22.6,22.8,21.6,17.4,12.0,7.9,1.4,12.225,2.26666666666667,11.7333333333333,22.3333333333333,12.4333333333333,24.0,20.0666666666667
1958.0,-0.1,7.0,2.1,9.6,20.6,20.0,23.6,23.2,17.8,12.6,6.9,6.4,12.475,2.76666666666667,10.7666666666667,22.2666666666667,12.4333333333333,23.7,19.5
1959.0,1.8,-0.6,9.0,12.4,16.2,19.4,22.3,20.7,15.8,10.7,6.3,5.3,11.6083333333333,2.53333333333333,12.5333333333333,20.8,10.9333333333333,22.9,18.2666666666667
1960.0,0.1,2.6,6.7,11.7,15.7,20.5,20.4,21.9,16.5,15.4,9.9,6.6,12.3333333333333,2.66666666666667,11.3666666666667,20.9333333333333,13.9333333333333,21.8,18.2666666666667
1961.0,1.0,3.6,9.4,15.3,14.8,21.4,21.2,21.8,18.9,14.9,8.8,1.1,12.6833333333333,3.73333333333333,13.1666666666667,21.4666666666667,14.2,20.8,17.7333333333333
1962.0,2.0,0.7,2.9,13.2,18.0,18.9,21.0,23.5,17.6,12.8,7.4,-0.8,11.4333333333333,1.26666666666667,11.3666666666667,21.1333333333333,12.6,24.3,19.8666666666667
1963.0,-5.2,-1.8,5.0,12.7,17.5,22.2,23.8,24.1,19.2,12.3,12.3,-1.8,11.6916666666667,-2.6,11.7333333333333,23.3666666666667,14.6,29.3,25.9666666666667
1964.0,-5.5,1.2,4.7,12.7,15.7,22.7,21.2,20.4,16.8,13.3,8.1,2.7,11.1666666666667,-2.03333333333333,11.0333333333333,21.4333333333333,12.7333333333333,28.2,23.4666666666667
1965.0,2.0,-2.4,7.6,10.1,16.0,20.1,22.8,19.9,19.1,11.3,6.7,4.8,11.5,0.766666666666667,11.2333333333333,20.9333333333333,12.3666666666667,25.2,20.1666666666667
1966.0,-2.5,9.1,6.2,14.1,16.7,19.7,21.4,21.4,18.0,17.0,6.4,3.2,12.5583333333333,3.8,12.3333333333333,20.8333333333333,13.8,23.9,17.0333333333333
1967.0,-1.5,3.2,8.7,11.5,17.2,19.3,23.1,22.2,19.2,14.9,7.7,0.6,12.175,1.63333333333333,12.4666666666667,21.5333333333333,13.9333333333333,24.6,19.9
1968.0,-0.8,5.6,7.4,15.2,19.3,21.3,21.4,19.5,16.9,12.1,8.2,0.3,12.2,1.8,13.9666666666667,20.7333333333333,12.4,22.2,18.9333333333333
